phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
840.944.9972x78755,molly39@example.com,635,26-35,Divorced,20170,High School,Retired,51,2025-02-25,47,0
001-360-957-6627x02895,foxstephen@example.net,655,56+,Married,42794,Master's,Part-time,58,2025-02-08,64,1
+1-921-274-5961x5865,younggabrielle@example.com,560,18-25,Single,15000,Professional,Unemployed,17,2025-07-12,0,0
001-716-711-7240x0504,hthomas@example.com,763,36-45,Married,66151,Bachelor's,Full-time,79,2025-04-25,100,1
(422)519-6937,dlittle@example.com,786,46-55,Single,76095,PhD,Self-employed,57,2025-05-14,92,1
648.521.7594x647,gcastaneda@example.org,738,56+,Single,48281,Bachelor's,Full-time,6,2025-03-23,40,0
(694)540-6409x097,jeffery39@example.com,598,18-25,Divorced,23436,Master's,Retired,23,2025-05-15,23,0
001-821-404-7095x2145,davidryan@example.com,633,36-45,Single,46597,Professional,Part-time,26,2025-04-19,65,1
724-374-5171x236,ismith@example.org,612,18-25,Married with Kids,48736,Bachelor's,Self-employed,75,2025-04-05,100,1
+1-349-965-1370x98593,debra12@example.org,740,56+,Married,41776,High School,Full-time,30,2025-07-03,70,1
471-813-8267x5869,basschristina@example.com,513,18-25,Single,19350,Bachelor's,Full-time,25,2025-01-19,34,0
(637)573-5158x506,rushmadison@example.org,660,36-45,Married with Kids,15000,Bachelor's,Part-time,70,2025-05-13,100,1
+1-590-505-3293x1839,kim90@example.com,660,36-45,Married,86578,Master's,Full-time,67,2025-06-17,99,1
(728)542-1020,alfred40@example.org,660,56+,Married,54659,Master's,Full-time,43,2025-05-27,67,1
611.977.5891x78390,browntimothy@example.com,641,26-35,Married,15000,Bachelor's,Part-time,63,2025-03-31,66,1
477-611-5921,oscar98@example.com,605,46-55,Married with Kids,44956,High School,Full-time,22,2025-04-05,90,1
+1-861-818-3673x657,edwardslarry@example.com,692,36-45,Married with Kids,49264,High School,Full-time,100,2025-03-22,100,1
(471)211-1615,elizabeth65@example.net,539,18-25,Married,23192,Bachelor's,Full-time,35,2025-07-02,29,0
(704)794-5198x32731,farmeraudrey@example.com,651,18-25,Divorced,15000,Bachelor's,Part-time,31,2025-06-15,35,0
001-499-480-9402x44550,vjones@example.net,621,36-45,Married with Kids,44238,Bachelor's,Full-time,78,2025-07-07,100,1
683-766-7525,wareeric@example.net,629,26-35,Widowed,47081,Master's,Full-time,41,2025-01-22,48,0
547-367-9764,russell49@example.com,640,26-35,Divorced,34055,High School,Full-time,46,2025-04-18,59,0
703-369-0034x3244,jimenezryan@example.org,663,56+,Divorced,74767,Master's,Full-time,31,2025-03-23,76,1
001-738-885-1606x071,amckinney@example.com,612,36-45,Single,60139,Master's,Full-time,25,2025-02-03,72,1
5528975161,zwarren@example.com,551,18-25,Married with Kids,29405,Bachelor's,Full-time,35,2025-05-28,55,0
752.718.1883,joelthomas@example.org,614,26-35,Single,24605,High School,Retired,62,2025-02-14,42,0
(712)777-9979,scottharrison@example.net,707,46-55,Married with Kids,82118,Bachelor's,Full-time,60,2025-03-09,100,1
690-358-1477x005,gilbertwilliam@example.com,684,56+,Single,18904,High School,Part-time,35,2025-04-28,41,0
001-707-393-5978x2071,benjaminzimmerman@example.com,728,26-35,Single,41086,High School,Self-employed,63,2025-04-18,80,1
+1-725-354-6659x051,umitchell@example.net,620,26-35,Married with Kids,19744,Bachelor's,Full-time,65,2025-07-06,100,1
+1-625-819-2546x291,lisa81@example.net,679,26-35,Divorced,48180,Bachelor's,Full-time,27,2025-05-14,84,1
650.354.2357x33221,stanleynancy@example.net,615,18-25,Married with Kids,41127,Master's,Full-time,38,2025-02-06,57,0
(622)929-2706x5379,amandacollins@example.com,656,26-35,Married with Kids,36026,High School,Full-time,80,2025-06-25,100,1
859.477.4688,laurietaylor@example.com,609,18-25,Married with Kids,18200,High School,Full-time,56,2025-01-23,62,1
858.318.1412x4782,lisawilkerson@example.org,660,46-55,Married with Kids,69875,Master's,Full-time,18,2025-03-29,100,1
(485)236-1530x5152,samantha72@example.net,696,36-45,Divorced,72816,High School,Full-time,51,2025-04-08,100,1
+1-601-504-3289x861,david36@example.net,800,46-55,Divorced,142379,Master's,Full-time,63,2025-06-05,98,1
811.279.8089x324,john62@example.net,734,56+,Divorced,50835,Bachelor's,Full-time,4,2025-05-14,76,1
651.288.8880x67065,kristina53@example.net,532,18-25,Married,27158,Master's,Full-time,57,2025-05-12,47,0
995-920-5852,lisabrown@example.com,591,26-35,Married,53944,Master's,Full-time,61,2025-01-20,75,1
903.605.4868,mullinsjames@example.com,770,36-45,Married,139921,PhD,Full-time,70,2025-06-18,100,1
7544156676,xholt@example.net,599,18-25,Widowed,30125,Bachelor's,Full-time,32,2025-03-03,23,0
361-369-2845,donna47@example.net,641,26-35,Single,24763,High School,Full-time,46,2025-05-23,78,1
(275)370-5964,zcox@example.net,667,36-45,Married,53831,Bachelor's,Full-time,43,2025-05-16,90,1
7298702135,jacobserika@example.com,732,36-45,Married,53789,High School,Full-time,75,2025-03-21,96,1
001-819-328-5654x31027,kimberly73@example.net,625,18-25,Single,24701,Master's,Full-time,26,2025-03-06,34,0
631.621.7271x5518,jenniferho@example.net,730,46-55,Divorced,61486,Master's,Full-time,38,2025-02-14,78,1
(783)913-2370x589,cherylmiller@example.com,546,18-25,Single,23054,High School,Full-time,43,2025-03-26,31,0
001-778-466-9125x177,katrinaanderson@example.net,717,46-55,Married,37310,Bachelor's,Full-time,25,2025-06-26,90,1
7186242253,kingcynthia@example.net,678,36-45,Married,15000,Bachelor's,Student,64,2025-03-04,85,1
+1-749-281-8299x2299,millerstacy@example.net,623,56+,Married with Kids,54617,Bachelor's,Full-time,24,2025-03-02,84,1
996.590.7844,eevans@example.net,573,18-25,Married with Kids,40227,Professional,Full-time,47,2025-01-24,49,0
467.773.5925x556,floressteven@example.com,702,26-35,Married with Kids,75591,Master's,Self-employed,99,2025-04-04,100,1
(710)746-9632,kathrynjimenez@example.net,644,26-35,Divorced,36564,Bachelor's,Full-time,57,2025-04-08,64,1
670-916-8733x9500,amitchell@example.org,538,18-25,Married with Kids,15183,High School,Full-time,30,2025-04-01,64,1
656-350-6098x358,wgordon@example.net,690,36-45,Married,15000,Master's,Student,56,2025-03-05,73,1
+1-891-221-6558x523,williamsjennifer@example.com,761,36-45,Married with Kids,71244,Bachelor's,Self-employed,55,2025-04-17,100,1
(698)725-9526,terickson@example.com,576,26-35,Married with Kids,27765,Master's,Part-time,54,2025-06-09,68,1
(551)269-4097x499,ojackson@example.net,653,56+,Single,84264,Professional,Full-time,45,2025-05-05,79,1
(523)809-1307x5626,vsalas@example.net,662,46-55,Married with Kids,106901,Master's,Self-employed,61,2025-01-25,100,1
(483)985-7865,amy49@example.com,689,26-35,Married with Kids,45608,PhD,Full-time,64,2025-02-17,100,1
748.943.4437,ann44@example.org,677,56+,Married with Kids,61730,Bachelor's,Self-employed,38,2025-04-27,93,1
+1-766-952-4041,julie33@example.net,574,18-25,Married with Kids,15000,Bachelor's,Part-time,66,2025-03-03,56,0
+1-542-519-9330,garciamark@example.com,681,26-35,Married with Kids,27666,PhD,Part-time,57,2025-02-01,100,1
001-520-282-6773x45401,robertmonroe@example.org,736,36-45,Married with Kids,46782,PhD,Retired,88,2025-07-12,96,1
(972)440-0499x1547,znelson@example.org,610,26-35,Single,31444,Bachelor's,Full-time,49,2025-03-14,67,1
001-774-320-5493x2966,lcaldwell@example.org,623,26-35,Married with Kids,15000,High School,Student,64,2025-04-09,80,1
204.663.7454,heather01@example.com,725,36-45,Single,100793,Professional,Full-time,64,2025-03-10,100,1
(784)814-5933x2727,ztodd@example.net,685,26-35,Single,25476,High School,Full-time,71,2025-06-11,75,1
001-539-418-7851x91088,markmeyer@example.org,662,46-55,Single,96539,Master's,Full-time,63,2025-05-16,100,1
001-297-918-7072x867,jennifer64@example.org,614,18-25,Divorced,32572,Bachelor's,Full-time,39,2025-05-28,66,1
001-910-265-1801,robert26@example.com,671,18-25,Married,29701,Bachelor's,Full-time,37,2025-07-11,63,1
(476)561-8251x2868,avilatiffany@example.com,728,56+,Married,42658,Bachelor's,Full-time,55,2025-05-15,89,1
+1-668-563-3752,johnsondonna@example.net,659,26-35,Divorced,29159,Master's,Part-time,66,2025-05-31,86,1
2335119079,moralesjimmy@example.org,668,36-45,Married with Kids,15000,High School,Unemployed,83,2025-05-29,81,1
001-502-884-3959x95342,joshua89@example.net,657,26-35,Married with Kids,61853,Master's,Full-time,44,2025-06-27,100,1
+1-868-470-5685x6624,oallen@example.com,760,36-45,Married,83835,Master's,Full-time,73,2025-06-17,100,1
(870)586-6882,james17@example.com,670,36-45,Divorced,15000,High School,Student,66,2025-01-30,59,0
001-930-546-9901x3983,kevin03@example.org,607,18-25,Married with Kids,15000,Bachelor's,Part-time,68,2025-07-06,64,1
673-893-6385,wferguson@example.com,598,46-55,Married,23755,Bachelor's,Retired,51,2025-03-02,40,0
277.617.5355x60932,mphillips@example.com,717,46-55,Single,15000,High School,Part-time,39,2025-02-24,55,0
001-437-785-4777,donaldpayne@example.org,694,36-45,Married with Kids,59179,Bachelor's,Full-time,61,2025-06-28,100,1
+1-508-301-0062,albertwagner@example.com,698,26-35,Single,57058,Master's,Full-time,55,2025-01-24,91,1
+1-697-270-0886x0084,ldrake@example.org,722,46-55,Married with Kids,38546,Master's,Part-time,43,2025-06-28,97,1
523.539.8454x61567,gabriella10@example.org,547,18-25,Single,38530,Master's,Full-time,31,2025-03-27,22,0
(287)500-2176x5918,rachelschwartz@example.net,547,26-35,Married with Kids,38893,Bachelor's,Full-time,41,2025-04-09,84,1
5144890250,thickman@example.org,705,46-55,Divorced,64601,Master's,Full-time,29,2025-04-25,67,1
001-268-356-2185,ehall@example.com,605,36-45,Married with Kids,63750,Bachelor's,Full-time,61,2025-05-02,100,1
+1-896-450-4773x586,nmiller@example.com,633,18-25,Single,46179,Bachelor's,Full-time,21,2025-06-06,42,0
001-211-642-6265x511,rward@example.org,611,26-35,Single,23818,Master's,Part-time,60,2025-02-06,61,1
(367)788-8610,carlsonkristen@example.com,741,46-55,Married with Kids,117198,Bachelor's,Self-employed,86,2025-01-16,100,1
(961)483-9826x22444,jacksonjoshua@example.com,652,36-45,Married with Kids,33792,High School,Full-time,60,2025-04-11,100,1
354-437-9937,adam65@example.net,771,56+,Married,41693,High School,Self-employed,70,2025-03-23,90,1
775-669-2459x37526,yfaulkner@example.org,601,26-35,Widowed,34100,Professional,Part-time,46,2025-03-13,32,0
565-919-3982x807,marie16@example.net,626,56+,Married with Kids,41097,Master's,Full-time,48,2025-04-13,84,1
+1-843-242-6617x9796,jacqueline89@example.net,697,36-45,Married with Kids,15000,Bachelor's,Unemployed,74,2025-06-27,71,1
835-329-0965,garciajeffrey@example.net,691,56+,Single,21120,Master's,Part-time,37,2025-04-17,48,0
001-493-775-6798,webbkenneth@example.org,707,26-35,Single,71448,Professional,Full-time,58,2025-02-03,83,1
001-925-745-7387x5717,evanslisa@example.org,636,36-45,Married,53476,Bachelor's,Full-time,45,2025-01-18,100,1
412-438-2825x86736,vfoster@example.net,680,46-55,Single,114581,Professional,Full-time,54,2025-06-21,86,1
496.760.3341x918,james14@example.net,654,36-45,Single,27936,Master's,Part-time,45,2025-06-18,89,1
359.469.6915x57924,david41@example.org,705,46-55,Married with Kids,77472,Bachelor's,Self-employed,53,2025-03-22,100,1
(486)969-2966,angelaburns@example.org,677,36-45,Divorced,51231,High School,Full-time,51,2025-02-16,75,1
890.950.7236x887,cmckinney@example.com,617,18-25,Single,36717,Professional,Retired,44,2025-02-13,0,0
001-403-940-4384,hdunn@example.net,641,36-45,Married with Kids,55963,High School,Full-time,74,2025-02-03,100,1
001-685-780-7836x13407,gonzalesvictoria@example.org,704,56+,Single,61281,Master's,Full-time,43,2025-02-20,72,1
001-695-496-2923x3095,tiffany44@example.net,717,56+,Married with Kids,21206,Bachelor's,Part-time,61,2025-03-03,90,1
412.660.4223x25367,ebrooks@example.net,604,26-35,Married with Kids,19634,Bachelor's,Part-time,64,2025-06-06,87,1
001-316-884-5775x90175,tammysummers@example.com,712,56+,Married with Kids,18535,Bachelor's,Part-time,62,2025-03-03,66,1
358-492-9750x0170,bbryant@example.org,723,46-55,Married with Kids,86903,Master's,Full-time,52,2025-07-12,100,1
(442)241-5415,ugarrett@example.net,546,26-35,Married,15000,Bachelor's,Part-time,55,2025-05-29,43,0
(711)303-7129x38700,ebenson@example.org,724,26-35,Single,18569,Master's,Part-time,64,2025-02-24,65,1
411-355-4262,bishopfrank@example.com,601,36-45,Married,24491,High School,Full-time,80,2025-05-24,100,1
+1-826-797-3112x1965,johnnewman@example.org,685,36-45,Married with Kids,38303,Master's,Part-time,66,2025-04-23,99,1
+1-294-504-3898x364,pcruz@example.com,588,18-25,Divorced,15000,Bachelor's,Full-time,15,2025-05-08,18,0
780-455-2696,xbest@example.org,722,46-55,Married,19687,Bachelor's,Part-time,30,2025-01-17,61,1
804-830-0684,imiller@example.net,650,26-35,Married with Kids,25817,High School,Full-time,41,2025-05-04,91,1
614-818-3285x691,brianmiller@example.com,681,56+,Married,67441,Master's,Full-time,46,2025-02-03,84,1
+1-690-442-1020x275,david41@example.org,759,46-55,Divorced,28381,High School,Full-time,11,2025-03-15,61,1
(448)714-9177x85079,jonathangarcia@example.net,722,46-55,Single,72613,Master's,Full-time,17,2025-05-15,91,1
738-800-0307,haroldhorne@example.org,694,36-45,Single,88397,Master's,Self-employed,60,2025-04-23,100,1
001-263-453-6541x951,lindajarvis@example.com,778,36-45,Married,40887,High School,Full-time,52,2025-01-26,100,1
644.551.8705x349,frichardson@example.org,747,36-45,Married with Kids,54788,Master's,Retired,59,2025-05-25,100,1
+1-232-706-0385,blakenicholas@example.net,544,18-25,Divorced,16909,High School,Full-time,30,2025-05-24,26,0
338-236-7024,phyllismeyer@example.net,629,18-25,Married with Kids,23084,High School,Full-time,15,2025-06-24,63,1
419.518.2619x906,jose56@example.net,663,26-35,Married with Kids,43251,Professional,Part-time,54,2025-06-12,90,1
957-743-1329x12127,wmartinez@example.org,607,36-45,Widowed,17653,High School,Part-time,48,2025-04-05,45,0
541.712.4903x521,rpalmer@example.com,699,46-55,Married,73415,Master's,Self-employed,63,2025-03-01,100,1
(306)478-8317,smithmaria@example.org,675,36-45,Married with Kids,52419,High School,Self-employed,75,2025-02-06,100,1
(751)399-4101x3721,dunlapbrent@example.net,612,18-25,Married,15000,Bachelor's,Full-time,28,2025-04-01,26,0
001-467-206-6253x2447,deborahporter@example.net,697,36-45,Married,92209,PhD,Full-time,88,2025-04-10,100,1
246-826-3838,timothy75@example.net,665,56+,Married with Kids,61588,Master's,Full-time,53,2025-04-14,86,1
(542)405-9304x0785,wrightjohn@example.net,692,26-35,Widowed,69672,Master's,Self-employed,70,2025-06-09,96,1
001-203-796-5223x9559,annalopez@example.com,635,26-35,Married,36771,Bachelor's,Full-time,65,2025-04-21,84,1
(970)210-3930,samantha32@example.com,677,56+,Married,35909,Bachelor's,Full-time,26,2025-05-23,68,1
700-629-2185x15691,derek26@example.net,734,36-45,Married with Kids,39310,High School,Full-time,67,2025-07-05,100,1
+1-452-289-5392x6442,xrosales@example.net,667,56+,Single,28559,High School,Full-time,24,2025-01-19,53,0
+1-759-439-1725x135,underwoodelizabeth@example.net,615,36-45,Widowed,40087,Master's,Part-time,11,2025-06-22,52,0
904.833.1541x006,nicolesnyder@example.com,522,18-25,Divorced,19468,Bachelor's,Full-time,38,2025-03-18,43,0
(317)393-2710x4054,george62@example.net,719,46-55,Single,58528,Bachelor's,Full-time,7,2025-01-27,68,1
859-497-0629,garciajamie@example.org,636,18-25,Single,57335,Professional,Self-employed,31,2025-03-28,44,0
+1-984-444-3106,wardronald@example.com,637,36-45,Married with Kids,36414,High School,Full-time,62,2025-06-11,100,1
+1-897-931-0324x1714,qjacobson@example.org,688,26-35,Married,43161,Bachelor's,Self-employed,55,2025-05-09,100,1
(625)265-2704x7743,karencontreras@example.org,608,26-35,Married with Kids,15000,High School,Unemployed,76,2025-05-14,75,1
+1-969-538-0686,zevans@example.net,651,36-45,Married with Kids,47795,High School,Full-time,95,2025-01-20,100,1
001-589-592-1722,bradmiller@example.net,557,18-25,Single,23238,Master's,Full-time,48,2025-04-02,27,0
+1-929-245-1168x6854,jrodriguez@example.org,736,46-55,Single,66429,High School,Full-time,44,2025-04-25,70,1
001-611-891-4856,earmstrong@example.org,706,36-45,Married,58735,High School,Full-time,71,2025-02-13,100,1
(229)796-0653x0745,larry71@example.org,615,18-25,Widowed,39667,Master's,Full-time,52,2025-02-07,45,0
001-775-246-9137x3678,cameronmckinney@example.com,613,46-55,Married with Kids,33641,High School,Full-time,75,2025-02-07,81,1
790.923.3030x70534,hreid@example.net,716,56+,Single,38227,High School,Full-time,42,2025-01-19,51,0
(379)672-7985x524,hughesfrank@example.net,763,56+,Married with Kids,69404,PhD,Full-time,52,2025-06-03,100,1
933.434.6800,carolynsmith@example.com,676,46-55,Married with Kids,54875,High School,Full-time,37,2025-05-03,100,1
346-265-7437x4896,anna99@example.com,800,36-45,Married with Kids,83633,Master's,Full-time,83,2025-03-08,100,1
571-454-5444,racheltrujillo@example.net,678,46-55,Divorced,104664,Master's,Self-employed,36,2025-03-27,87,1
520-974-4666x09935,william28@example.org,701,46-55,Single,17954,Bachelor's,Part-time,47,2025-03-07,53,0
724.682.5135x3465,steven17@example.org,710,36-45,Single,59633,Master's,Full-time,48,2025-06-18,93,1
001-699-817-3816,pittsedward@example.org,616,26-35,Single,15000,Bachelor's,Unemployed,53,2025-03-16,50,0
001-772-252-1752,hayesjason@example.org,691,26-35,Married,31724,Master's,Full-time,56,2025-04-27,100,1
(971)829-6666,johnsonjames@example.com,751,36-45,Single,97107,Bachelor's,Full-time,75,2025-07-04,100,1
683-400-3354x21689,colonkenneth@example.com,628,26-35,Married with Kids,42702,Bachelor's,Full-time,75,2025-04-06,100,1
598.456.2575x32603,jessicalawrence@example.org,627,46-55,Married,54946,Bachelor's,Full-time,43,2025-02-05,76,1
001-306-848-9090x100,jjames@example.com,736,36-45,Married with Kids,15000,Professional,Student,83,2025-04-09,100,1
(430)846-1849,huntchristine@example.com,677,18-25,Married,61049,Master's,Full-time,37,2025-02-03,59,0
873-693-4835,benjamincrawford@example.org,573,26-35,Single,39397,High School,Self-employed,54,2025-05-17,59,0
353.600.1197x2181,stephenmadden@example.com,650,26-35,Married,93480,PhD,Self-employed,57,2025-04-07,68,1
220-245-5611,elizabethjackson@example.com,595,18-25,Single,58436,Master's,Full-time,20,2025-06-24,40,0
+1-941-855-2166x746,danielhorton@example.org,661,36-45,Single,30262,Master's,Part-time,36,2025-07-09,57,0
(816)797-9729,huffmannichole@example.net,697,56+,Single,86868,Bachelor's,Self-employed,39,2025-07-08,69,1
(777)216-7014,tiffanysantiago@example.com,627,18-25,Single,15000,PhD,Full-time,41,2025-04-17,39,0
001-291-463-7562x890,kchristian@example.org,576,18-25,Married with Kids,25499,Professional,Full-time,56,2025-05-29,49,0
935-340-8386x63177,hwest@example.com,679,26-35,Married with Kids,15000,Bachelor's,Retired,53,2025-05-28,77,1
6165608801,xclements@example.org,720,56+,Married with Kids,56432,Bachelor's,Full-time,47,2025-06-09,90,1
758.799.7571x130,amy51@example.org,725,36-45,Single,67858,Bachelor's,Full-time,14,2025-06-24,69,1
726.314.9331x6373,owilliams@example.net,753,46-55,Married,46311,High School,Full-time,35,2025-04-29,72,1
001-477-498-2708x08697,dalesandoval@example.net,646,26-35,Married,64170,Master's,Full-time,60,2025-06-21,72,1
666.793.4654x72269,jamesweber@example.com,684,56+,Married with Kids,44272,High School,Full-time,42,2025-05-17,100,1
+1-622-888-5158x79968,millsanthony@example.org,547,18-25,Married with Kids,40325,Master's,Full-time,58,2025-01-23,55,0
5342244204,lisa19@example.net,728,36-45,Married with Kids,79587,Master's,Full-time,82,2025-05-27,100,1
886.738.4066,smithjohn@example.net,666,46-55,Married,15000,PhD,Unemployed,30,2025-06-19,53,0
435.498.9334x721,bennettroy@example.net,718,36-45,Married with Kids,15000,High School,Unemployed,63,2025-03-02,88,1
(794)205-7202,tracy98@example.com,735,56+,Married with Kids,61350,Master's,Full-time,62,2025-01-27,100,1
001-858-332-8182x688,jeffrey35@example.com,673,46-55,Divorced,21590,High School,Part-time,32,2025-03-19,72,1
598.578.0157,flemingmanuel@example.org,665,46-55,Married,30529,Bachelor's,Self-employed,64,2025-03-24,88,1
+1-240-685-8877,lukemiller@example.org,642,26-35,Single,65168,Master's,Self-employed,44,2025-02-13,68,1
001-288-901-3361x38612,benjamin10@example.org,658,36-45,Married with Kids,40544,Master's,Part-time,71,2025-06-05,100,1
+1-819-734-6676,pricedavid@example.org,696,36-45,Single,67127,Master's,Full-time,54,2025-05-09,88,1
+1-619-901-5814x491,qfoster@example.org,711,26-35,Married with Kids,18682,Bachelor's,Part-time,49,2025-04-09,82,1
+1-232-468-4245,williamsashley@example.com,612,18-25,Married,15000,Master's,Student,54,2025-04-20,47,0
443-553-6822,james29@example.org,614,26-35,Divorced,56172,Master's,Full-time,66,2025-06-16,83,1
+1-978-714-1413,david31@example.com,691,36-45,Married,80582,Professional,Full-time,79,2025-05-05,100,1
757.775.9492,ujackson@example.org,657,26-35,Divorced,15000,Bachelor's,Unemployed,35,2025-06-04,61,1
001-364-452-5777x547,wilkinsonmichele@example.org,806,46-55,Single,116569,PhD,Full-time,36,2025-06-23,87,1
841.510.8099,arnoldamy@example.net,552,18-25,Married,20516,Bachelor's,Full-time,59,2025-04-08,64,1
001-225-563-9427x88165,katherinetaylor@example.org,729,56+,Single,35735,High School,Full-time,16,2025-02-15,52,0
001-627-750-3731,bradclark@example.com,649,18-25,Divorced,49461,Master's,Self-employed,0,2025-03-24,46,0
800.851.8449x892,briana18@example.com,674,26-35,Married,22435,Master's,Part-time,89,2025-03-22,99,1
486.955.7790,jerryrobertson@example.com,640,36-45,Married with Kids,38899,High School,Full-time,97,2025-02-21,100,1
